Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Infeksi jamur,gatal,ruam kulit,erupsi kulit nodular,bercak kulit tidak merata warna,,,,,,,,,,,,,
Infeksi jamur,ruam kulit,erupsi kulit nodular,bercak kulit tidak merata warna,,,,,,,,,,,,,,
Infeksi jamur,gatal,erupsi kulit nodular,bercak kulit tidak merata warna,,,,,,,,,,,,,,
Infeksi jamur,gatal,ruam kulit,bercak kulit tidak merata warna,,,,,,,,,,,,,,
Infeksi jamur,gatal,ruam kulit,erupsi kulit nodular,,,,,,,,,,,,,,
Alergi,bersin terus-menerus,menggigil,kedinginan,mata berair,,,,,,,,,,,,,
Alergi,menggigil,kedinginan,mata berair,,,,,,,,,,,,,,
Alergi,bersin terus-menerus,kedinginan,mata berair,,,,,,,,,,,,,,
Alergi,bersin terus-menerus,menggigil,mata berair,,,,,,,,,,,,,,
Alergi,bersin terus-menerus,menggigil,kedinginan,,,,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,asam lambung,luka di lidah,muntah,batuk,nyeri dada,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,luka di lidah,muntah,batuk,nyeri dada,,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,asam lambung,muntah,batuk,nyeri dada,,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,asam lambung,luka di lidah,batuk,nyeri dada,,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,asam lambung,luka di lidah,muntah,nyeri dada,,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,asam lambung,luka di lidah,muntah,batuk,,,,,,,,,,,,
GERD (refluks asam lambung),asam lambung,luka di lidah,muntah,batuk,nyeri dada,,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,kulit menguning,mual,kehilangan nafsu makan,nyeri perut,mata menguning,,,,,,,,,,
Kolestasis kronis,muntah,kulit menguning,mual,kehilangan nafsu makan,nyeri perut,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,kulit menguning,mual,kehilangan nafsu makan,nyeri perut,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,mual,kehilangan nafsu makan,nyeri perut,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,kulit menguning,kehilangan nafsu makan,nyeri perut,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,kulit menguning,mual,nyeri perut,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,kulit menguning,mual,kehilangan nafsu makan,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,kulit menguning,mual,kehilangan nafsu makan,nyeri perut,,,,,,,,,,,
Reaksi obat,gatal,ruam kulit,sakit perut,nyeri saat buang air kecil,bercak saat buang air kecil,,,,,,,,,,,,
Reaksi obat,gatal,sakit perut,nyeri saat buang air kecil,bercak saat buang air kecil,,,,,,,,,,,,,
Reaksi obat,gatal,ruam kulit,nyeri saat buang air kecil,bercak saat buang air kecil,,,,,,,,,,,,,
Reaksi obat,gatal,ruam kulit,sakit perut,bercak saat buang air kecil,,,,,,,,,,,,,
Reaksi obat,gatal,ruam kulit,sakit perut,nyeri saat buang air kecil,,,,,,,,,,,,,
Reaksi obat,ruam kulit,sakit perut,nyeri saat buang air kecil,bercak saat buang air kecil,,,,,,,,,,,,,
Tukak lambung,muntah,kehilangan nafsu makan,nyeri perut,buang angin,gatal dari dalam tubuh,,,,,,,,,,,,
Tukak lambung,muntah,gangguan pencernaan,nyeri perut,buang angin,gatal dari dalam tubuh,,,,,,,,,,,,
Tukak lambung,gangguan pencernaan,kehilangan nafsu makan,nyeri perut,buang angin,gatal dari dalam tubuh,,,,,,,,,,,,
Tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,buang angin,gatal dari dalam tubuh,,,,,,,,,,,,
Tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,nyeri perut,gatal dari dalam tubuh,,,,,,,,,,,,
Tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,nyeri perut,buang angin,,,,,,,,,,,,
Tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,nyeri perut,buang angin,gatal dari dalam tubuh,,,,,,,,,,,
AIDS,penyusutan otot,bercak di tenggorokan,demam tinggi,kontak di luar pernikahan,,,,,,,,,,,,,
AIDS,bercak di tenggorokan,demam tinggi,kontak di luar pernikahan,,,,,,,,,,,,,,
AIDS,penyusutan otot,demam tinggi,kontak di luar pernikahan,,,,,,,,,,,,,,
AIDS,penyusutan otot,bercak di tenggorokan,kontak di luar pernikahan,,,,,,,,,,,,,,
AIDS,penyusutan otot,bercak di tenggorokan,demam tinggi,,,,,,,,,,,,,,
Diabetes,kelelahan,penurunan berat badan,gelisah,lesu,gula darah tidak teratur,penglihatan kabur dan terganggu,obesitas,lapar berlebihan,nafsu makan meningkat,sering buang air kecil,,,,,,,
Diabetes,penurunan berat badan,gelisah,lesu,gula darah tidak teratur,penglihatan kabur dan terganggu,obesitas,lapar berlebihan,nafsu makan meningkat,sering buang air kecil,,,,,,,,
Diabetes,kelelahan,gelisah,lesu,gula darah tidak teratur,penglihatan kabur dan terganggu,obesitas,lapar berlebihan,nafsu makan meningkat,sering buang air kecil,,,,,,,,
Diabetes,kelelahan,penurunan berat badan,lesu,gula darah tidak teratur,penglihatan kabur dan terganggu,obesitas,lapar berlebihan,nafsu makan meningkat,sering buang air kecil,,,,,,,,
Diabetes,kelelahan,penurunan berat badan,gelisah,gula darah tidak teratur,penglihatan kabur dan terganggu,obesitas,lapar berlebihan,nafsu makan meningkat,sering buang air kecil,,,,,,,,
Diabetes,kelelahan,penurunan berat badan,gelisah,lesu,penglihatan kabur dan terganggu,obesitas,lapar berlebihan,nafsu makan meningkat,sering buang air kecil,,,,,,,,
Diabetes,kelelahan,penurunan berat badan,gelisah,lesu,gula darah tidak teratur,obesitas,lapar berlebihan,nafsu makan meningkat,sering buang air kecil,,,,,,,,
Diabetes,kelelahan,penurunan berat badan,gelisah,lesu,gula darah tidak teratur,penglihatan kabur dan terganggu,lapar berlebihan,nafsu makan meningkat,sering buang air kecil,,,,,,,,
Diabetes,kelelahan,penurunan berat badan,gelisah,lesu,gula darah tidak teratur,penglihatan kabur dan terganggu,obesitas,nafsu makan meningkat,sering buang air kecil,,,,,,,,
Gastroenteritis,muntah,mata cekung,dehidrasi,diare,,,,,,,,,,,,,
Gastroenteritis,mata cekung,dehidrasi,diare,,,,,,,,,,,,,,
Gastroenteritis,muntah,dehidrasi,diare,,,,,,,,,,,,,,
Gastroenteritis,muntah,mata cekung,diare,,,,,,,,,,,,,,
Gastroenteritis,muntah,mata cekung,dehidrasi,,,,,,,,,,,,,,
Asma bronkial,kelelahan,batuk,demam tinggi,sesak napas,riwayat keluarga,dahak berlendir,,,,,,,,,,,
Asma bronkial,batuk,demam tinggi,sesak napas,riwayat keluarga,dahak berlendir,,,,,,,,,,,,
Asma bronkial,kelelahan,demam tinggi,sesak napas,riwayat keluarga,dahak berlendir,,,,,,,,,,,,
Asma bronkial,kelelahan,batuk,sesak napas,riwayat keluarga,dahak berlendir,,,,,,,,,,,,
Asma bronkial,kelelahan,batuk,demam tinggi,riwayat keluarga,dahak berlendir,,,,,,,,,,,,
Asma bronkial,kelelahan,batuk,demam tinggi,sesak napas,dahak berlendir,,,,,,,,,,,,
Asma bronkial,kelelahan,batuk,demam tinggi,sesak napas,riwayat keluarga,,,,,,,,,,,,
Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan,sulit berkonsentrasi,,,,,,,,,,,,
Hipertensi,nyeri dada,pusing,kehilangan keseimbangan,sulit berkonsentrasi,,,,,,,,,,,,,
Hipertensi,sakit kepala,pusing,kehilangan keseimbangan,sulit berkonsentrasi,,,,,,,,,,,,,
Hipertensi,sakit kepala,nyeri dada,kehilangan keseimbangan,sulit berkonsentrasi,,,,,,,,,,,,,
Hipertensi,sakit kepala,nyeri dada,pusing,sulit berkonsentrasi,,,,,,,,,,,,,
Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan,,,,,,,,,,,,,
Migrain,asam lambung,gangguan pencernaan,sakit kepala,penglihatan kabur dan terganggu,lapar berlebihan,leher kaku,depresi,mudah marah,gangguan penglihatan,,,,,,,,
Migrain,gangguan pencernaan,sakit kepala,penglihatan kabur dan terganggu,lapar berlebihan,leher kaku,depresi,mudah marah,gangguan penglihatan,,,,,,,,,
Migrain,asam lambung,sakit kepala,penglihatan kabur dan terganggu,lapar berlebihan,leher kaku,depresi,mudah marah,gangguan penglihatan,,,,,,,,,
Migrain,asam lambung,gangguan pencernaan,penglihatan kabur dan terganggu,lapar berlebihan,leher kaku,depresi,mudah marah,gangguan penglihatan,,,,,,,,,
Migrain,asam lambung,gangguan pencernaan,sakit kepala,lapar berlebihan,leher kaku,depresi,mudah marah,gangguan penglihatan,,,,,,,,,
Migrain,asam lambung,gangguan pencernaan,sakit kepala,penglihatan kabur dan terganggu,leher kaku,depresi,mudah marah,gangguan penglihatan,,,,,,,,,
Migrain,asam lambung,gangguan pencernaan,sakit kepala,penglihatan kabur dan terganggu,lapar berlebihan,depresi,mudah marah,gangguan penglihatan,,,,,,,,,
Migrain,asam lambung,gangguan pencernaan,sakit kepala,penglihatan kabur dan terganggu,lapar berlebihan,leher kaku,mudah marah,gangguan penglihatan,,,,,,,,,
Migrain,asam lambung,gangguan pencernaan,sakit kepala,penglihatan kabur dan terganggu,lapar berlebihan,leher kaku,depresi,gangguan penglihatan,,,,,,,,,
Migrain,asam lambung,gangguan pencernaan,sakit kepala,penglihatan kabur dan terganggu,lapar berlebihan,leher kaku,depresi,mudah marah,,,,,,,,,
Spondilosis servikal,sakit punggung,lemah di anggota tubuh,sakit leher,pusing,kehilangan keseimbangan,,,,,,,,,,,,
Spondilosis servikal,lemah di anggota tubuh,sakit leher,pusing,kehilangan keseimbangan,,,,,,,,,,,,,
Spondilosis servikal,sakit punggung,sakit leher,pusing,kehilangan keseimbangan,,,,,,,,,,,,,
Spondilosis servikal,sakit punggung,lemah di anggota tubuh,pusing,kehilangan keseimbangan,,,,,,,,,,,,,
Spondilosis servikal,sakit punggung,lemah di anggota tubuh,sakit leher,kehilangan keseimbangan,,,,,,,,,,,,,
Spondilosis servikal,sakit punggung,lemah di anggota tubuh,sakit leher,pusing,,,,,,,,,,,,,
Kelumpuhan (perdarahan otak),muntah,sakit kepala,kelemahan di satu sisi tubuh,gangguan kesadaran,,,,,,,,,,,,,
Kelumpuhan (perdarahan otak),sakit kepala,kelemahan di satu sisi tubuh,gangguan kesadaran,,,,,,,,,,,,,,
Kelumpuhan (perdarahan otak),muntah,kelemahan di satu sisi tubuh,gangguan kesadaran,,,,,,,,,,,,,,
Kelumpuhan (perdarahan otak),muntah,sakit kepala,gangguan kesadaran,,,,,,,,,,,,,,
Kelumpuhan (perdarahan otak),muntah,sakit kepala,kelemahan di satu sisi tubuh,,,,,,,,,,,,,,
Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan,demam tinggi,kulit menguning,urin berwarna gelap,nyeri perut,,,,,,,,,
Penyakit kuning,muntah,kelelahan,penurunan berat badan,demam tinggi,kulit menguning,urin berwarna gelap,nyeri perut,,,,,,,,,,
Penyakit kuning,gatal,kelelahan,penurunan berat badan,demam tinggi,kulit menguning,urin berwarna gelap,nyeri perut,,,,,,,,,,
Penyakit kuning,gatal,muntah,penurunan berat badan,demam tinggi,kulit menguning,urin berwarna gelap,nyeri perut,,,,,,,,,,
Penyakit kuning,gatal,muntah,kelelahan,demam tinggi,kulit menguning,urin berwarna gelap,nyeri perut,,,,,,,,,,
Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan,kulit menguning,urin berwarna gelap,nyeri perut,,,,,,,,,,
Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan,demam tinggi,urin berwarna gelap,nyeri perut,,,,,,,,,,
Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan,demam tinggi,kulit menguning,nyeri perut,,,,,,,,,,
Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan,demam tinggi,kulit menguning,urin berwarna gelap,,,,,,,,,,
Malaria,kedinginan,muntah,demam tinggi,berkeringat,sakit kepala,mual,nyeri otot,,,,,,,,,,
Malaria,kedinginan,muntah,demam tinggi,berkeringat,sakit kepala,mual,diare,nyeri otot,,,,,,,,,
Malaria,muntah,demam tinggi,berkeringat,sakit kepala,mual,diare,nyeri otot,,,,,,,,,,
Malaria,kedinginan,demam tinggi,berkeringat,sakit kepala,mual,diare,nyeri otot,,,,,,,,,,
Malaria,kedinginan,muntah,berkeringat,sakit kepala,mual,diare,nyeri otot,,,,,,,,,,
Malaria,kedinginan,muntah,demam tinggi,sakit kepala,mual,diare,nyeri otot,,,,,,,,,,
Malaria,kedinginan,muntah,demam tinggi,berkeringat,mual,diare,nyeri otot,,,,,,,,,,
Malaria,kedinginan,muntah,demam tinggi,berkeringat,sakit kepala,diare,nyeri otot,,,,,,,,,,
Cacar air,gatal,ruam kulit,kelelahan,lesu,demam tinggi,sakit kepala,kehilangan nafsu makan,demam ringan,pembengkakan kelenjar getah bening,rasa tidak enak badan,bintik merah di tubuh,,,,,,
Cacar air,ruam kulit,kelelahan,lesu,demam tinggi,sakit kepala,kehilangan nafsu makan,demam ringan,pembengkakan kelenjar getah bening,rasa tidak enak badan,bintik merah di tubuh,,,,,,,
Cacar air,gatal,kelelahan,lesu,demam tinggi,sakit kepala,kehilangan nafsu makan,demam ringan,pembengkakan kelenjar getah bening,rasa tidak enak badan,bintik merah di tubuh,,,,,,,
Cacar air,gatal,ruam kulit,lesu,demam tinggi,sakit kepala,kehilangan nafsu makan,demam ringan,pembengkakan kelenjar getah bening,rasa tidak enak badan,bintik merah di tubuh,,,,,,,
Cacar air,gatal,ruam kulit,kelelahan,demam tinggi,sakit kepala,kehilangan nafsu makan,demam ringan,pembengkakan kelenjar getah bening,rasa tidak enak badan,bintik merah di tubuh,,,,,,,
Cacar air,gatal,ruam kulit,kelelahan,lesu,sakit kepala,kehilangan nafsu makan,demam ringan,pembengkakan kelenjar getah bening,rasa tidak enak badan,bintik merah di tubuh,,,,,,,
Cacar air,gatal,ruam kulit,kelelahan,lesu,demam tinggi,kehilangan nafsu makan,demam ringan,pembengkakan kelenjar getah bening,rasa tidak enak badan,bintik merah di tubuh,,,,,,,
Cacar air,gatal,ruam kulit,kelelahan,lesu,demam tinggi,sakit kepala,demam ringan,pembengkakan kelenjar getah bening,rasa tidak enak badan,bintik merah di tubuh,,,,,,,
Cacar air,gatal,ruam kulit,kelelahan,lesu,demam tinggi,sakit kepala,kehilangan nafsu makan,pembengkakan kelenjar getah bening,rasa tidak enak badan,bintik merah di tubuh,,,,,,,
Cacar air,gatal,ruam kulit,kelelahan,lesu,demam tinggi,sakit kepala,kehilangan nafsu makan,demam ringan,rasa tidak enak badan,bintik merah di tubuh,,,,,,,
Demam berdarah (Dengue),ruam kulit,kedinginan,nyeri sendi,muntah,kelelahan,demam tinggi,sakit kepala,mual,kehilangan nafsu makan,nyeri di belakang mata,sakit punggung,nyeri otot,bintik merah di tubuh,,,,
Demam berdarah (Dengue),ruam kulit,kedinginan,nyeri sendi,muntah,kelelahan,demam tinggi,sakit kepala,mual,kehilangan nafsu makan,nyeri di belakang mata,sakit punggung,rasa tidak enak badan,bintik merah di tubuh,,,,
Demam berdarah (Dengue),ruam kulit,kedinginan,nyeri sendi,muntah,kelelahan,demam tinggi,sakit kepala,mual,kehilangan nafsu makan,nyeri di belakang mata,sakit punggung,rasa tidak enak badan,nyeri otot,,,,
Demam berdarah (Dengue),ruam kulit,kedinginan,nyeri sendi,muntah,kelelahan,demam tinggi,sakit kepala,mual,kehilangan nafsu makan,nyeri di belakang mata,sakit punggung,rasa tidak enak badan,nyeri otot,bintik merah di tubuh,,,
Demam berdarah (Dengue),kedinginan,nyeri sendi,muntah,kelelahan,demam tinggi,sakit kepala,mual,kehilangan nafsu makan,nyeri di belakang mata,sakit punggung,rasa tidak enak badan,nyeri otot,bintik merah di tubuh,,,,
Demam berdarah (Dengue),ruam kulit,nyeri sendi,muntah,kelelahan,demam tinggi,sakit kepala,mual,kehilangan nafsu makan,nyeri di belakang mata,sakit punggung,rasa tidak enak badan,nyeri otot,bintik merah di tubuh,,,,
Demam berdarah (Dengue),ruam kulit,kedinginan,muntah,kelelahan,demam tinggi,sakit kepala,mual,kehilangan nafsu makan,nyeri di belakang mata,sakit punggung,rasa tidak enak badan,nyeri otot,bintik merah di tubuh,,,,
Demam berdarah (Dengue),ruam kulit,kedinginan,nyeri sendi,kelelahan,demam tinggi,sakit kepala,mual,kehilangan nafsu makan,nyeri di belakang mata,sakit punggung,rasa tidak enak badan,nyeri otot,bintik merah di tubuh,,,,
Demam berdarah (Dengue),ruam kulit,kedinginan,nyeri sendi,muntah,demam tinggi,sakit kepala,mual,kehilangan nafsu makan,nyeri di belakang mata,sakit punggung,rasa tidak enak badan,nyeri otot,bintik merah di tubuh,,,,
Demam berdarah (Dengue),ruam kulit,kedinginan,nyeri sendi,muntah,kelelahan,sakit kepala,mual,kehilangan nafsu makan,nyeri di belakang mata,sakit punggung,rasa tidak enak badan,nyeri otot,bintik merah di tubuh,,,,
Tifus,kedinginan,muntah,kelelahan,demam tinggi,mual,sembelit,nyeri perut,diare,penampakan toksik (tifus),nyeri perut bagian bawah,,,,,,,
Tifus,kedinginan,muntah,kelelahan,demam tinggi,sakit kepala,sembelit,nyeri perut,diare,penampakan toksik (tifus),nyeri perut bagian bawah,,,,,,,
Tifus,kedinginan,muntah,kelelahan,demam tinggi,sakit kepala,mual,nyeri perut,diare,penampakan toksik (tifus),nyeri perut bagian bawah,,,,,,,
Tifus,kedinginan,muntah,kelelahan,demam tinggi,sakit kepala,mual,sembelit,diare,penampakan toksik (tifus),nyeri perut bagian bawah,,,,,,,
Tifus,kedinginan,muntah,kelelahan,demam tinggi,sakit kepala,mual,sembelit,nyeri perut,penampakan toksik (tifus),nyeri perut bagian bawah,,,,,,,
Tifus,kedinginan,muntah,kelelahan,demam tinggi,sakit kepala,mual,sembelit,nyeri perut,diare,nyeri perut bagian bawah,,,,,,,
Tifus,kedinginan,muntah,kelelahan,demam tinggi,sakit kepala,mual,sembelit,nyeri perut,diare,penampakan toksik (tifus),,,,,,,
Tifus,kedinginan,muntah,kelelahan,demam tinggi,sakit kepala,mual,sembelit,nyeri perut,diare,penampakan toksik (tifus),nyeri perut bagian bawah,,,,,,
Tifus,kedinginan,kelelahan,demam tinggi,sakit kepala,mual,sembelit,nyeri perut,diare,penampakan toksik (tifus),nyeri perut bagian bawah,,,,,,,
Hepatitis A,nyeri sendi,muntah,kulit menguning,urin berwarna gelap,mual,kehilangan nafsu makan,nyeri perut,diare,demam ringan,mata menguning,nyeri otot,,,,,,
Hepatitis A,muntah,kulit menguning,urin berwarna gelap,mual,kehilangan nafsu makan,nyeri perut,diare,demam ringan,mata menguning,nyeri otot,,,,,,,
Hepatitis A,nyeri sendi,kulit menguning,urin berwarna gelap,mual,kehilangan nafsu makan,nyeri perut,diare,demam ringan,mata menguning,nyeri otot,,,,,,,
Hepatitis A,nyeri sendi,muntah,urin berwarna gelap,mual,kehilangan nafsu makan,nyeri perut,diare,demam ringan,mata menguning,nyeri otot,,,,,,,
Hepatitis A,nyeri sendi,muntah,kulit menguning,mual,kehilangan nafsu makan,nyeri perut,diare,demam ringan,mata menguning,nyeri otot,,,,,,,
Hepatitis A,nyeri sendi,muntah,kulit menguning,urin berwarna gelap,kehilangan nafsu makan,nyeri perut,diare,demam ringan,mata menguning,nyeri otot,,,,,,,
Hepatitis A,nyeri sendi,muntah,kulit menguning,urin berwarna gelap,mual,nyeri perut,diare,demam ringan,mata menguning,nyeri otot,,,,,,,
Hepatitis A,nyeri sendi,muntah,kulit menguning,urin berwarna gelap,mual,kehilangan nafsu makan,diare,demam ringan,mata menguning,nyeri otot,,,,,,,
Hepatitis A,nyeri sendi,muntah,kulit menguning,urin berwarna gelap,mual,kehilangan nafsu makan,nyeri perut,demam ringan,mata menguning,nyeri otot,,,,,,,
Hepatitis B,gatal,kelelahan,lesu,kulit menguning,urin berwarna gelap,kehilangan nafsu makan,nyeri perut,urin kuning,mata menguning,rasa tidak enak badan,pernah transfusi darah,pernah injeksi tidak steril,,,,,
Hepatitis B,kelelahan,lesu,kulit menguning,urin berwarna gelap,kehilangan nafsu makan,nyeri perut,urin kuning,mata menguning,rasa tidak enak badan,pernah transfusi darah,pernah injeksi tidak steril,,,,,,
Hepatitis B,gatal,lesu,kulit menguning,urin berwarna gelap,kehilangan nafsu makan,nyeri perut,urin kuning,mata menguning,rasa tidak enak badan,pernah transfusi darah,pernah injeksi tidak steril,,,,,,
Hepatitis B,gatal,kelelahan,kulit menguning,urin berwarna gelap,kehilangan nafsu makan,nyeri perut,urin kuning,mata menguning,rasa tidak enak badan,pernah transfusi darah,pernah injeksi tidak steril,,,,,,
Hepatitis B,gatal,kelelahan,lesu,urin berwarna gelap,kehilangan nafsu makan,nyeri perut,urin kuning,mata menguning,rasa tidak enak badan,pernah transfusi darah,pernah injeksi tidak steril,,,,,,
Hepatitis B,gatal,kelelahan,lesu,kulit menguning,kehilangan nafsu makan,nyeri perut,urin kuning,mata menguning,rasa tidak enak badan,pernah transfusi darah,pernah injeksi tidak steril,,,,,,
Hepatitis B,gatal,kelelahan,lesu,kulit menguning,urin berwarna gelap,nyeri perut,urin kuning,mata menguning,rasa tidak enak badan,pernah transfusi darah,pernah injeksi tidak steril,,,,,,
Hepatitis B,gatal,kelelahan,lesu,kulit menguning,urin berwarna gelap,kehilangan nafsu makan,urin kuning,mata menguning,rasa tidak enak badan,pernah transfusi darah,pernah injeksi tidak steril,,,,,,
Hepatitis B,gatal,kelelahan,lesu,kulit menguning,urin berwarna gelap,kehilangan nafsu makan,nyeri perut,mata menguning,rasa tidak enak badan,pernah transfusi darah,pernah injeksi tidak steril,,,,,,
Hepatitis C,kelelahan,kulit menguning,mual,kehilangan nafsu makan,riwayat keluarga,,,,,,,,,,,,
Hepatitis C,kelelahan,kulit menguning,mual,kehilangan nafsu makan,mata menguning,riwayat keluarga,,,,,,,,,,,
Hepatitis C,kulit menguning,mual,kehilangan nafsu makan,mata menguning,riwayat keluarga,,,,,,,,,,,,
Hepatitis C,kelelahan,mual,kehilangan nafsu makan,mata menguning,riwayat keluarga,,,,,,,,,,,,
Hepatitis C,kelelahan,kulit menguning,kehilangan nafsu makan,mata menguning,riwayat keluarga,,,,,,,,,,,,
Hepatitis C,kelelahan,kulit menguning,mual,mata menguning,riwayat keluarga,,,,,,,,,,,,
Hepatitis C,kelelahan,kulit menguning,mual,kehilangan nafsu makan,mata menguning,,,,,,,,,,,,
Hepatitis D,nyeri sendi,muntah,kelelahan,kulit menguning,urin berwarna gelap,mual,kehilangan nafsu makan,nyeri perut,mata menguning,,,,,,,,
